證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,"46,790,503","3,463,425,684",74.95,75.25,72.80,72.80,-2.05,"23,021"
0051,元大中型100,"43,172","1,177,199",27.30,27.57,26.75,26.75,-0.52,45
0053,元大電子,"35,076","1,163,448",33.36,33.61,32.56,32.69,-0.67,19
0054,元大台商50,"27,028","507,569",18.80,19.00,18.64,18.64,-0.36,13
0055,元大MSCI金融,"62,050","940,984",15.35,15.35,15.00,15.10,-0.32,52
0056,元大高股息,"80,530,934","1,897,973,002",23.70,23.82,23.26,23.29,-0.38,"35,938"
0061,元大寶滬深,"5,889,414","103,296,868",17.30,18.50,16.90,17.93,+1.00,"2,346"
006203,元大MSCI台灣,"7,000","242,470",34.98,34.98,34.52,34.52,-0.20,5
006206,元大上證50,"602,582","17,703,772",29.15,29.60,29.15,29.24,+0.09,359
00631L,元大台灣50正2,"22,770,009","725,909,170",32.86,32.88,30.66,30.66,-2.22,"6,348"
00632R,元大台灣50反1,"307,003,192","3,890,066,718",12.54,12.90,12.49,12.90,+0.41,"26,210"
00635U,元大S&P黃金,"2,074,480","45,122,284",21.79,21.81,21.66,21.70,+0.34,679
00637L,元大滬深300正2,"117,360,971","1,650,312,234",14.00,14.32,13.72,13.72,-0.13,"12,552"
00638R,元大滬深300反1,"6,524,000","83,028,110",12.70,12.85,12.60,12.85,+0.06,881
00642U,元大S&P石油,"77,488,385","800,805,843",10.22,10.45,10.22,10.25,-0.50,"13,667"
00646,元大S&P500,"3,052,106","68,939,394",22.90,22.91,22.38,22.38,-0.56,991
00647L,元大S&P500正2,"4,152,000","94,073,210",22.75,23.40,22.35,22.41,-1.84,835
00648R,元大S&P500反1,"10,595,844","149,013,129",13.90,14.20,13.88,14.20,+0.55,"1,375"
00660,元大歐洲50,"72,000","1,287,470",17.89,18.10,17.75,17.81,-0.36,27
00661,元大日經225,"5,000","108,700",21.83,21.89,21.50,21.50,-0.37,5
00672L,元大S&P原油正2,"364,271,500","909,166,432",2.70,2.70,2.36,2.40,-1.01,"37,879"
00673R,元大S&P原油反1,"7,133,571","184,148,969",25.70,26.06,25.67,26.06,+2.54,"1,420"
00674R,元大S&P黃金反1,"836,000","13,549,280",16.21,16.31,16.15,16.31,-0.28,215
00680L,元大美債20正2,"660,100","19,611,936",29.39,29.86,29.39,29.70,-4.05,186
00681R,元大美債20反1,"426,000","5,796,800",13.58,13.64,13.56,13.63,+0.82,113
00682U,元大美元指數,"38,000","756,880",19.82,19.96,19.82,19.96,+0.42,22
00683L,元大美元指數正2,"62,000","1,259,880",20.38,20.50,20.23,20.35,+0.50,18
00684R,元大美元指數反1,"16,000","287,600",17.88,18.03,17.87,18.03,X0.00,9
00706L,元大S&P日圓正2,"11,000","193,660",17.69,17.69,17.58,17.60,-0.05,10
00707R,元大S&P日圓反1,"2,000","39,030",19.56,19.56,19.47,19.47,+0.02,2
00708L,元大S&P黃金正2,"9,998,000","224,045,730",22.46,22.53,22.24,22.32,+0.79,"1,707"
00713,元大台灣高息低波,"163,000","4,296,660",26.68,26.68,26.00,26.00,-0.62,143
00738U,元大道瓊白銀,"2,968,000","42,087,300",14.31,14.31,13.97,14.23,-0.06,448
00739,元大MSCI A股,"763,000","15,265,450",19.75,20.11,19.75,19.97,+0.26,133
00762,元大全球AI,"457,250","8,898,295",19.70,19.70,19.35,19.35,-0.27,254
00771,元大US高息特別股,"212,815","3,334,828",15.75,15.90,15.50,15.56,-0.21,94
00850,元大臺灣ESG永續,"8,484,709","157,578,884",18.82,18.85,18.29,18.29,-0.53,"4,133"
00861,元大全球未來通訊,"9,478,779","163,572,705",17.40,17.55,16.98,16.98,-0.42,"2,709"
020008,元大特股高息N,"52,000","509,380",9.80,9.82,9.77,9.79,-0.03,19
2885,元大金,"39,140,446","606,092,853",15.40,15.80,15.10,15.55,-0.05,"8,698"
